phase,name,status,dataset,model,objective,seed,run_tag,target_epochs,target_folds,target_batch_size,target_downsample,target_eval_every,completed_folds,recorded_epochs,latest_fold,latest_epoch,latest_epoch_total,latest_train_loss,latest_valid_mAP,latest_eval_fold,latest_eval_epoch,latest_eval_valid_mAP,best_eval_fold,best_eval_epoch,best_eval_valid_mAP,avg_epoch_runtime_sec,avg_eval_epoch_runtime_sec,avg_train_epoch_runtime_sec,estimated_current_fold_remaining_min,actual_epochs,actual_batch_size,actual_downsample,actual_eval_every,lr,density_prior,mean_best_epoch,mean_valid_mAP,mean_valid_loss,tuned_mAP,tuned_mf1,strict3_tuned_mAP,strict3_tuned_mf1,strict3_score_file,score_required,purpose,run_dir
P0,lr_screen_density_custom,trained,sleep,gru,density_custom,0,lr3e4_e2,2,2,10,10,1,2.0,0.0,,,,,,,,,,,,,,,,2.0,10.0,10.0,,0.0003,sparse,2.0,0.0204462969737467,0.00340609852307035,,,,,,False,Choose optimizer scale after switching to Poisson likelihood.,experiments/sleep/gru/density_custom/seed_0_lr3e4_e2
P0,lr_screen_density_custom,trained,sleep,gru,density_custom,0,lr1e3_e2,2,2,10,10,1,2.0,0.0,,,,,,,,,,,,,,,,2.0,10.0,10.0,,0.001,sparse,2.0,0.02869578700841375,0.0033918103585259003,,,,,,False,Choose optimizer scale after switching to Poisson likelihood.,experiments/sleep/gru/density_custom/seed_0_lr1e3_e2
P0,lr_screen_density_custom,scored,sleep,gru,density_custom,0,lr3e3_e2,2,2,10,10,1,2.0,0.0,,,,,,,,,,,,,,,,2.0,10.0,10.0,,0.003,sparse,2.0,0.035832349800330246,0.0033813387872337498,0.0332659705324627,0.0791698903784621,,,,False,Choose optimizer scale after switching to Poisson likelihood.,experiments/sleep/gru/density_custom/seed_0_lr3e3_e2
P1,current_density_candidate,scored,sleep,gru,density_custom,0,lr3e3_e20_gpu_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.5814188455991876,0.002235910121636325,0.5952504561796061,0.6745204800033334,,,,True,First real multi-epoch CUDA run for the main method.,experiments/sleep/gru/density_custom/seed_0_lr3e3_e20_gpu_bs32_eval5
P2,gru_objective_sweep_seed0,scored,sleep,gru,density_hard,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.6646203911072995,0.00162908841497775,0.670474923063441,0.723547847391744,,,,True,Screen BDL kernels and segmentation losses; P1 supplies density_custom.,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5
P2,gru_objective_sweep_seed0,scored,sleep,gru,density_gau,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.6487628020569002,0.0019513875375418,0.6514676993362588,0.7089770172779496,,,,True,Screen BDL kernels and segmentation losses; P1 supplies density_custom.,experiments/sleep/gru/density_gau/seed_0_objective_e20_bs32_eval5
P2,gru_objective_sweep_seed0,scored,sleep,gru,seg,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,18.75,0.4391626806676997,0.12586380438850203,0.5708911028714023,0.6600968076746483,,,,True,Screen BDL kernels and segmentation losses; P1 supplies density_custom.,experiments/sleep/gru/seg/seed_0_objective_e20_bs32_eval5
P2,gru_objective_sweep_seed0,scored,sleep,gru,seg_weighted,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,15.0,0.4963586157123307,0.201110154378573,0.551820626356865,0.6434071580078717,,,,True,Screen BDL kernels and segmentation losses; P1 supplies density_custom.,experiments/sleep/gru/seg_weighted/seed_0_objective_e20_bs32_eval5
P2,gru_objective_sweep_seed0,scored,sleep,gru,seg_focal,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,13.75,0.3594692725525783,0.0166433385666363,0.5142161181162086,0.6051642115005316,,,,True,Screen BDL kernels and segmentation losses; P1 supplies density_custom.,experiments/sleep/gru/seg_focal/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,density_hard,0,objective_e20_bs32_eval5,20,4,32,10,5,4.0,0.0,,,,,,,,,,,,,,,,20.0,32.0,10.0,5.0,0.003,sparse,20.0,0.6646203911072995,0.00162908841497775,0.670474923063441,0.723547847391744,,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5
